url,year,title,reviews,tomatometer,av_rating,audience,box_office,director,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6
/m/this_boys_life,1993,This Boy's Life,36,75.0,6.3,79,NA,Michael Caton-Jones,Robert De Niro,Ellen Barkin,Leonardo DiCaprio,Jonah Blechman,Eliza Dushku,Chris Cooper
/m/1040890-night_and_the_city,1992,Night and the City,12,67.0,5.7,30,NA,Irwin Winkler,Robert De Niro,Jessica Lange,Cliff Gorman,Alan King,Eli Wallach,Barry Primus
/m/thunderheart,1992,Thunderheart,15,87.0,6.4,75,NA,Michael Apted,Val Kilmer,Sam Shepard,Graham Greene (II),Fred Ward,Fred Dalton Thompson,Sheila Tousey
/m/1037581-cape_fear,1991,Cape Fear,46,76.0,7.1,77,NA,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,Juliette Lewis,Joe Don Baker,Robert Mitchum
/m/mistress_1991,1991,Mistress,16,69.0,6.5,38,NA,Barry Primus,Robert Wuhl,Martin Landau,Robert De Niro,Danny Aiello,Eli Wallach,Jace Alexander
/m/backdraft,1991,Backdraft,44,73.0,6.1,75,NA,Ron Howard,Kurt Russell,William Baldwin,Robert De Niro,Jennifer Jason Leigh,Donald Sutherland,Scott Glenn
/m/guilty_by_suspicion,1991,Guilty by Suspicion,17,65.0,6.1,54,NA,Irwin Winkler,Robert De Niro,Annette Bening,George Wendt,Patricia Wettig,Sam Wanamaker,Chris Cooper
/m/1032970-awakenings,1990,Awakenings,33,88.0,6.7,89,NA,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,John Heard,Penelope Ann Miller
/m/1032176-goodfellas,1990,GoodFellas,86,97.0,9.0,97,NA,Martin Scorsese,Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero
/m/stanley_and_iris,1990,Stanley & Iris,14,29.0,4.0,47,NA,Martin Ritt,Jane Fonda,Robert De Niro,Swoosie Kurtz,Martha Plimpton,Harley Cross,Jamey Sheridan
/m/1023286-were_no_angels,1954,We're No Angels  (1989),19,47.0,5.0,41,NA,Neil Jordan,Robert De Niro,Sean Penn,Demi Moore,Hoyt Axton,Bruno Kirby,Ray McAnally
/m/jacknife,1989,Jacknife,14,64.0,5.9,46,NA,David Hugh Jones,Robert De Niro,Ed Harris,Kathy Baker,Charles S. Dutton,Loudon Wainwright III,Tom Isbell
/m/midnight_run,1988,Midnight Run,47,96.0,8.0,87,NA,Martin Brest,Robert De Niro,Charles Grodin,Dennis Farina,Yaphet Kotto,John Ashton,Joe Pantoliano
/m/untouchables,1987,The Untouchables,56,80.0,7.4,89,NA,Brian DePalma,Sean Connery,Kevin Costner,Robert De Niro,Andy Garcia,Charles Martin Smith,Richard Bradford
/m/1000959-angel_heart,1987,Angel Heart,24,79.0,7.2,81,NA,Alan Parker,Mickey Rourke,Robert De Niro,Lisa Bonet,Charlotte Rampling,Brownie McGhee,Michael Higgins
